Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code,Loan_Purpose,Policy_Code_Group,Year,Quarter,Risk_Score_Bin
25000.0,2008-03-26,Debt Consildation,720.0,4.71,275xx,NC,5,0.0,debt consildation,Standard Decline,2008,1,700-800
10000.0,2008-04-03,Small Business Start Up Money,733.0,13.8,618xx,IL,3,0.0,small business start up money,Standard Decline,2008,2,700-800
15000.0,2008-04-05,First child to College,687.0,18.3,945xx,CA,7,0.0,first child to college,Standard Decline,2008,2,600-700
15000.0,2008-04-07,Debt Coverage,775.0,14.46,088xx,NJ,10,0.0,debt coverage,Standard Decline,2008,2,700-800
2500.0,2008-04-11,Dental Work Needed...,706.0,29.67,333xx,FL,5,0.0,dental work needed...,Standard Decline,2008,2,700-800
7500.0,2008-04-14,newlyweds,686.0,29.88,913xx,CA,8,0.0,newlyweds,Standard Decline,2008,2,600-700
2550.0,2008-04-16,refi visa card balance,694.0,6.16,971xx,OR,6,0.0,refi visa card balance,Standard Decline,2008,2,600-700
7500.0,2008-04-24,To clear homeloan,711.0,0.3,088xx,NJ,2,0.0,to clear homeloan,Standard Decline,2008,2,700-800
7500.0,2008-04-26,Debt Buster,702.0,22.88,921xx,CA,10,0.0,debt buster,Standard Decline,2008,2,700-800
7500.0,2008-04-28,need working capital for new business,706.0,15.28,917xx,CA,10,0.0,need working capital for new business,Standard Decline,2008,2,700-800
6500.0,2008-04-29,Back to school,682.0,24.19,750xx,TX,5,0.0,back to school,Standard Decline,2008,2,600-700
7500.0,2008-04-29,personal Loan,780.0,4.88,301xx,GA,10,0.0,personal loan,Standard Decline,2008,2,700-800
4000.0,2008-05-09,Wiping out credit cards!!,700.0,3.58,077xx,NJ,5,0.0,wiping out credit cards!!,Standard Decline,2008,2,600-700
7500.0,2008-05-19,Consolidating my debt,685.0,0.0,301xx,GA,8,0.0,consolidating my debt,Standard Decline,2008,2,600-700
2500.0,2008-05-22,Dental Work,693.0,10.8,041xx,ME,10,0.0,dental work,Standard Decline,2008,2,600-700
2950.0,2008-05-27,legal fees,717.0,2.64,134xx,NY,2,0.0,legal fees,Standard Decline,2008,2,700-800
4000.0,2008-05-29,Used car purchase,722.0,7.74,773xx,TX,2,0.0,used car purchase,Standard Decline,2008,2,700-800
6000.0,2008-06-04,personal loan,707.0,20.28,923xx,CA,3,0.0,personal loan,Standard Decline,2008,2,700-800
3950.0,2008-06-10,legal fees,703.0,1.57,130xx,NY,7,0.0,legal fees,Standard Decline,2008,2,700-800
7500.0,2008-06-14,PAY OFF AMEX,753.0,3.67,945xx,CA,3,0.0,pay off amex,Standard Decline,2008,2,700-800
4000.0,2008-06-16,unsecured,704.0,7.13,217xx,MD,10,0.0,unsecured,Standard Decline,2008,2,700-800
7500.0,2008-06-21,GSITF:Capitlistic-Socially conscise $$$,728.0,2.5,852xx,AZ,10,0.0,gsitf:capitlistic-socially conscise $$$,Standard Decline,2008,2,700-800
3000.0,2008-06-25, ,728.0,0.0,760xx,TX,4,0.0,,Standard Decline,2008,2,700-800
7000.0,2008-06-27,Personal,692.0,12.48,152xx,PA,4,0.0,personal,Standard Decline,2008,2,600-700
5000.0,2008-07-09,Bill consolidate,694.0,15.43,196xx,PA,3,0.0,bill consolidate,Standard Decline,2008,3,600-700
4000.0,2008-08-08, ,685.0,0.32,252xx,WV,7,0.0,,Standard Decline,2008,3,600-700
7500.0,2008-08-14,Daughters Tuition,798.0,0.69,331xx,FL,10,0.0,daughters tuition,Standard Decline,2008,3,700-800
7500.0,2008-08-16,home depreciation,718.0,4.34,914xx,CA,4,0.0,home depreciation,Standard Decline,2008,3,700-800
7500.0,2008-08-27,Paying off Debt - The Smart Way,706.0,12.17,105xx,NY,9,0.0,paying off debt - the smart way,Standard Decline,2008,3,700-800
2400.0,2008-09-01,debt repayment,793.0,1.0,751xx,TX,8,0.0,debt repayment,Standard Decline,2008,3,700-800
7500.0,2008-09-03,Need funding to grow small business,716.0,25.03,300xx,GA,2,0.0,need funding to grow small business,Standard Decline,2008,3,700-800
6600.0,2008-10-02,Consolidating debt at a better interest,709.0,8.8,300xx,GA,4,0.0,consolidating debt at a better interest,Standard Decline,2008,4,700-800
2000.0,2008-10-06,payoff cash call loan,700.0,6.17,926xx,CA,10,0.0,payoff cash call loan,Standard Decline,2008,4,600-700
4000.0,2008-10-07,"Loan for apartment rental, broker fee",773.0,0.25,112xx,NY,2,0.0,"loan for apartment rental, broker fee",Standard Decline,2008,4,700-800
5000.0,2008-10-14,Furniture Purchase ,785.0,0.0,303xx,GA,10,0.0,furniture purchase,Standard Decline,2008,4,700-800
3000.0,2008-10-15, ,709.0,26.43,117xx,NY,2,0.0,,Standard Decline,2008,4,700-800
11000.0,2008-10-15, ,693.0,28.88,928xx,CA,3,0.0,,Standard Decline,2008,4,600-700
15000.0,2008-10-21,Business expansion,705.0,10.38,208xx,MD,7,0.0,business expansion,Standard Decline,2008,4,700-800
9000.0,2008-10-23, ,682.0,29.17,054xx,VT,3,0.0,,Standard Decline,2008,4,600-700
7500.0,2008-10-29,Need A very short term loan!!!,714.0,6.21,606xx,IL,3,0.0,need a very short term loan!!!,Standard Decline,2008,4,700-800
10000.0,2008-10-30,I REALLY NEED THIS LOAN!!!!!!!,685.0,0.0,286xx,SC,7,0.0,i really need this loan!!!!!!!,Standard Decline,2008,4,600-700
10000.0,2008-10-31, ,705.0,2.75,112xx,NY,4,0.0,,Standard Decline,2008,4,700-800
25000.0,2008-10-31,personalloan,764.0,0.0,480xx,MI,10,0.0,personalloan,Standard Decline,2008,4,700-800
25000.0,2008-11-02,Energy Efficiency Upgrades ,721.0,5.32,060xx,CT,7,0.0,energy efficiency upgrades,Standard Decline,2008,4,700-800
25000.0,2008-11-02,Remodeling,692.0,17.23,664xx,KS,4,0.0,remodeling,Standard Decline,2008,4,600-700
20000.0,2008-11-04,Loan for my dad medical expenses,696.0,8.06,220xx,VA,4,0.0,loan for my dad medical expenses,Standard Decline,2008,4,600-700
2000.0,2008-11-07,Baby Maker,688.0,14.52,921xx,CA,4,0.0,baby maker,Standard Decline,2008,4,600-700
19000.0,2008-11-07, ,690.0,26.33,321xx,FL,9,0.0,,Standard Decline,2008,4,600-700
15000.0,2008-11-07, ,702.0,1.32,081xx,NJ,2,0.0,,Standard Decline,2008,4,700-800
12000.0,2008-11-10,costanice,697.0,6.35,068xx,CT,7,0.0,costanice,Standard Decline,2008,4,600-700
15000.0,2008-11-12,Operating Capital for Established Bus.,714.0,25.32,021xx,MA,9,0.0,operating capital for established bus.,Standard Decline,2008,4,700-800
15000.0,2008-11-17,Need a very short term loan!!!,735.0,4.44,606xx,IL,3,0.0,need a very short term loan!!!,Standard Decline,2008,4,700-800
15000.0,2008-11-18,debt consolidate,691.0,15.62,662xx,KS,10,0.0,debt consolidate,Standard Decline,2008,4,600-700
1000.0,2008-11-19,Prosper Lender Trying out Lending Club,765.0,17.13,941xx,CA,3,0.0,prosper lender trying out lending club,Standard Decline,2008,4,700-800
20000.0,2008-11-19,Looking to CConsolidate Debt,712.0,22.29,926xx,CA,4,0.0,looking to cconsolidate debt,Standard Decline,2008,4,700-800
25000.0,2008-11-22,Reduce Rate,750.0,24.84,895xx,NV,10,0.0,reduce rate,Standard Decline,2008,4,700-800
25000.0,2008-11-24,Personal Loan for a Retired Soldier,714.0,25.56,222xx,VA,4,0.0,personal loan for a retired soldier,Standard Decline,2008,4,700-800
22000.0,2008-11-25, ,717.0,28.26,120xx,NY,4,0.0,,Standard Decline,2008,4,700-800
8000.0,2008-11-25,Growth,702.0,16.37,089xx,NJ,5,0.0,growth,Standard Decline,2008,4,700-800
8500.0,2008-12-04,Personal Medical Loan,723.0,19.84,951xx,CA,4,0.0,personal medical loan,Standard Decline,2008,4,700-800
5000.0,2008-12-05,Buying Used Car,746.0,1.5,117xx,NY,2,0.0,buying used car,Standard Decline,2008,4,700-800
7000.0,2008-12-09,Consolidation Loan,687.0,18.74,558xx,MN,4,0.0,consolidation loan,Standard Decline,2008,4,600-700
25000.0,2008-12-09,working capital,735.0,9.95,378xx,TX,10,0.0,working capital,Standard Decline,2008,4,700-800
25000.0,2008-12-10,Payoff Credit Card Debt,717.0,12.38,478xx,IL,6,0.0,payoff credit card debt,Standard Decline,2008,4,700-800
8000.0,2008-12-15, ,691.0,5.09,322xx,FL,10,0.0,,Standard Decline,2008,4,600-700
5600.0,2008-12-17,PURCHASE OF SHED,692.0,14.95,930xx,CA,10,0.0,purchase of shed,Standard Decline,2008,4,600-700
7000.0,2008-12-18,Burleson Land Services Business Loan,695.0,19.51,760xx,TX,4,0.0,burleson land services business loan,Standard Decline,2008,4,600-700
15000.0,2008-12-18,Investment Property Rehab ,717.0,16.18,060xx,CT,10,0.0,investment property rehab,Standard Decline,2008,4,700-800
1500.0,2008-12-24,Colorado,764.0,10.99,146xx,NY,4,0.0,colorado,Standard Decline,2008,4,700-800
13500.0,2008-12-26,Need to refinance my credit card rate,685.0,28.45,928xx,CA,2,0.0,need to refinance my credit card rate,Standard Decline,2008,4,600-700
6000.0,2008-12-30, ,696.0,26.4,544xx,WI,7,0.0,,Standard Decline,2008,4,600-700
8000.0,2009-01-04, ,721.0,3.86,762xx,TX,2,0.0,,Standard Decline,2009,1,700-800
12000.0,2009-01-07,blackberry,687.0,27.78,175xx,PA,2,0.0,blackberry,Standard Decline,2009,1,600-700
15000.0,2009-01-08,Unsecured Personal Loan,713.0,1.53,129xx,NY,2,0.0,unsecured personal loan,Standard Decline,2009,1,700-800
5000.0,2009-01-08,Bills,779.0,28.36,212xx,MD,2,0.0,bills,Standard Decline,2009,1,700-800
10000.0,2009-01-08, ,721.0,6.84,201xx,VA,2,0.0,,Standard Decline,2009,1,700-800
7500.0,2009-01-09, ,697.0,0.0,254xx,WV,4,0.0,,Standard Decline,2009,1,600-700
10000.0,2009-01-10,Growing my business,734.0,19.92,920xx,CA,9,0.0,growing my business,Standard Decline,2009,1,700-800
15000.0,2009-01-10,Business Owner In Transition,750.0,15.33,704xx,LA,10,0.0,business owner in transition,Standard Decline,2009,1,700-800
18000.0,2009-01-12, ,713.0,0.22,065xx,CT,2,0.0,,Standard Decline,2009,1,700-800
20000.0,2009-01-13, ,707.0,12.03,989xx,WA,3,0.0,,Standard Decline,2009,1,700-800
5000.0,2009-01-13,My son's plane ticket and visa papers,705.0,1.24,330xx,FL,4,0.0,my son's plane ticket and visa papers,Standard Decline,2009,1,700-800
15000.0,2009-01-13,Debt Consolidation Loan,756.0,19.95,941xx,CA,2,0.0,debt consolidation loan,Standard Decline,2009,1,700-800
6000.0,2009-01-16,Hair Transplant,780.0,7.56,183xx,PA,3,0.0,hair transplant,Standard Decline,2009,1,700-800
7100.0,2009-01-17, ,812.0,3.23,600xx,IL,9,0.0,,Standard Decline,2009,1,>800
10000.0,2009-01-19, ,687.0,15.21,967xx,HI,4,0.0,,Standard Decline,2009,1,600-700
15000.0,2009-01-20,Home Improvement,724.0,17.71,330xx,FL,10,0.0,Home Improvement,Standard Decline,2009,1,700-800
15000.0,2009-01-20,Bridge loan for operation,705.0,18.0,463xx,IL,2,0.0,bridge loan for operation,Standard Decline,2009,1,700-800
12000.0,2009-01-22,Consolidating debt for better interest!,711.0,27.97,853xx,AZ,8,0.0,consolidating debt for better interest!,Standard Decline,2009,1,700-800
25000.0,2009-01-25,HOME IMPROVEMENT,762.0,2.06,331xx,FL,7,0.0,Home Improvement,Standard Decline,2009,1,700-800
10000.0,2009-01-26,Davids Loan,717.0,18.93,941xx,CA,2,0.0,davids loan,Standard Decline,2009,1,700-800
15000.0,2009-02-01,stern,707.0,4.38,335xx,FL,10,0.0,stern,Standard Decline,2009,1,700-800
2000.0,2009-02-03,Software company seeks expansion funds,703.0,14.84,017xx,MA,2,0.0,software company seeks expansion funds,Standard Decline,2009,1,700-800
15000.0,2009-02-03,Launching a men's underwear company,756.0,19.39,200xx,DC,6,0.0,launching a men's underwear company,Standard Decline,2009,1,700-800
3000.0,2009-02-04,Robert W and Patricia J Kennett,714.0,6.31,620xx,IL,10,0.0,robert w and patricia j kennett,Standard Decline,2009,1,700-800
15000.0,2009-02-10,FICO Score 732 needs help!!,738.0,10.45,300xx,GA,9,0.0,fico score 732 needs help!!,Standard Decline,2009,1,700-800
15000.0,2009-02-11,Business Loan - 15000,680.0,14.88,031xx,NH,2,0.0,business loan - 15000,Standard Decline,2009,1,600-700
15000.0,2009-02-12,consolidation,699.0,26.49,808xx,CO,2,0.0,consolidation,Standard Decline,2009,1,600-700
10000.0,2009-02-12, ,693.0,11.66,802xx,CO,2,0.0,,Standard Decline,2009,1,600-700
7475.0,2009-02-18,Motorcycle Loan Refinance,754.0,16.4,346xx,FL,2,0.0,motorcycle loan refinance,Standard Decline,2009,1,700-800
15500.0,2009-02-25,utilize 1 primary creditcard ONLY!,731.0,8.4,201xx,VA,2,0.0,utilize 1 primary creditcard only!,Standard Decline,2009,1,700-800
16000.0,2009-03-01,Payoff CC,747.0,25.07,447xx,OH,4,0.0,payoff cc,Standard Decline,2009,1,700-800
11000.0,2009-03-02, ,685.0,21.86,201xx,VA,3,0.0,,Standard Decline,2009,1,600-700
8000.0,2009-03-03, ,693.0,26.34,920xx,CA,2,0.0,,Standard Decline,2009,1,600-700
10000.0,2009-03-04,Car Loan,706.0,0.0,279xx,VA,4,0.0,car loan,Standard Decline,2009,1,700-800
20000.0,2009-03-11,Debt. Consolidation,750.0,15.85,109xx,NY,10,0.0,debt. consolidation,Standard Decline,2009,1,700-800
18000.0,2009-03-17, ,710.0,8.09,730xx,OK,5,0.0,,Standard Decline,2009,1,700-800
15000.0,2009-03-19,ebusiness,695.0,12.78,947xx,CA,3,0.0,ebusiness,Standard Decline,2009,1,600-700
25000.0,2009-03-19,Operating Cash,709.0,26.53,850xx,AZ,7,0.0,operating cash,Standard Decline,2009,1,700-800
14000.0,2009-03-21, ,721.0,15.16,871xx,NM,5,0.0,,Standard Decline,2009,1,700-800
12000.0,2009-03-22, ,715.0,26.85,346xx,FL,2,0.0,,Standard Decline,2009,1,700-800
21802.0,2009-03-22, ,720.0,12.05,349xx,FL,2,0.0,,Standard Decline,2009,1,700-800
1500.0,2009-03-22, ,692.0,23.97,532xx,WI,7,0.0,,Standard Decline,2009,1,600-700
8000.0,2009-03-24, ,720.0,20.57,563xx,MN,10,0.0,,Standard Decline,2009,1,700-800
3000.0,2009-03-24, ,712.0,26.3,607xx,IL,3,0.0,,Standard Decline,2009,1,700-800
20000.0,2009-03-26, ,719.0,12.21,900xx,CA,10,0.0,,Standard Decline,2009,1,700-800
3000.0,2009-03-28,home improvement,717.0,17.76,113xx,NY,2,0.0,Home Improvement,Standard Decline,2009,1,700-800
3000.0,2009-03-28,Trying to lower monthly payments & debt,697.0,20.05,104xx,NY,6,0.0,trying to lower monthly payments & debt,Standard Decline,2009,1,600-700
15000.0,2009-03-28, ,747.0,25.52,031xx,NH,3,0.0,,Standard Decline,2009,1,700-800
5000.0,2009-03-30,Marketing Loan Needed,777.0,0.0,891xx,NV,6,0.0,marketing loan needed,Standard Decline,2009,1,700-800
16500.0,2009-03-31, ,744.0,9.29,923xx,CA,2,0.0,,Standard Decline,2009,1,700-800
7500.0,2009-04-01,Real Estate Investor needing funding,737.0,0.14,940xx,CA,10,0.0,real estate investor needing funding,Standard Decline,2009,2,700-800
20000.0,2009-04-02,lINE OF CREDIT,750.0,26.26,300xx,GA,5,0.0,line of credit,Standard Decline,2009,2,700-800
10000.0,2009-04-07, ,737.0,0.0,307xx,GA,3,0.0,,Standard Decline,2009,2,700-800
15500.0,2009-04-08,auto loan,750.0,6.4,355xx,AL,9,0.0,auto loan,Standard Decline,2009,2,700-800
20000.0,2009-04-08,Debt Consolidation,682.0,27.56,483xx,MI,5,0.0,Debt Consolidation,Standard Decline,2009,2,600-700
7500.0,2009-04-08, ,725.0,3.46,983xx,WA,5,0.0,,Standard Decline,2009,2,700-800
3000.0,2009-04-09,personal,755.0,28.43,546xx,WI,2,0.0,personal,Standard Decline,2009,2,700-800
25000.0,2009-04-09,debt consolidation and car finance,708.0,6.47,761xx,TX,2,0.0,debt consolidation and car finance,Standard Decline,2009,2,700-800
19000.0,2009-04-09,my loan,743.0,14.97,191xx,PA,6,0.0,my loan,Standard Decline,2009,2,700-800
25000.0,2009-04-09,Debt Consolidation into One Payment,757.0,16.4,074xx,NJ,2,0.0,debt consolidation into one payment,Standard Decline,2009,2,700-800
12000.0,2009-04-10, ,759.0,25.0,114xx,NY,5,0.0,,Standard Decline,2009,2,700-800
10000.0,2009-04-10,business in spain,698.0,2.87,325xx,FL,3,0.0,business in spain,Standard Decline,2009,2,600-700
25000.0,2009-04-11,coasters ice cream parlor and sweet shop,683.0,16.43,141xx,NY,10,0.0,coasters ice cream parlor and sweet shop,Standard Decline,2009,2,600-700
15000.0,2009-04-13,Master's Degree Completion/Home Projects,718.0,11.8,018xx,MA,9,0.0,master's degree completion/home projects,Standard Decline,2009,2,700-800
20000.0,2009-04-13,Fix Gios Home,725.0,26.28,331xx,FL,2,0.0,fix gios home,Standard Decline,2009,2,700-800
7200.0,2009-04-14,"Drunk driver totaled truck, car shopping",775.0,0.27,217xx,MD,2,0.0,"drunk driver totaled truck, car shopping",Standard Decline,2009,2,700-800
3500.0,2009-04-16, ,695.0,4.94,539xx,WI,5,0.0,,Standard Decline,2009,2,600-700
15000.0,2009-04-16,Debt Free,724.0,12.82,630xx,MO,2,0.0,debt free,Standard Decline,2009,2,700-800
9800.0,2009-04-17,Motorcycle Loan,702.0,21.41,301xx,GA,10,0.0,motorcycle loan,Standard Decline,2009,2,700-800
19000.0,2009-04-18,Personal or Line of Credit / Home Equity,757.0,18.0,241xx,VA,10,0.0,personal or line of credit / home equity,Standard Decline,2009,2,700-800
15000.0,2009-04-19, ,691.0,27.27,986xx,WA,2,0.0,,Standard Decline,2009,2,600-700
7500.0,2009-04-19, ,759.0,11.48,061xx,CT,10,0.0,,Standard Decline,2009,2,700-800
15000.0,2009-04-19,renovation ,687.0,0.0,100xx,NY,5,0.0,renovation,Standard Decline,2009,2,600-700
24000.0,2009-04-21,Business loan,723.0,13.25,331xx,FL,2,0.0,business loan,Standard Decline,2009,2,700-800
7500.0,2009-04-22,Automobile Loan---Honda Accord,713.0,5.88,029xx,RI,4,0.0,automobile loan---honda accord,Standard Decline,2009,2,700-800
13300.0,2009-04-22,personal loan,694.0,26.84,325xx,FL,10,0.0,personal loan,Standard Decline,2009,2,600-700
15000.0,2009-04-22,Consolidation Loan,681.0,10.6,240xx,VA,4,0.0,consolidation loan,Standard Decline,2009,2,600-700
5000.0,2009-04-23, ,725.0,28.37,103xx,NY,4,0.0,,Standard Decline,2009,2,700-800
18300.0,2009-04-23, ,725.0,0.0,112xx,NY,8,0.0,,Standard Decline,2009,2,700-800
2500.0,2009-04-23,Small Business Loan,774.0,2.07,400xx,KY,10,0.0,small business loan,Standard Decline,2009,2,700-800
7500.0,2009-04-23, ,683.0,12.8,590xx,MT,5,0.0,,Standard Decline,2009,2,600-700
15500.0,2009-04-24, ,757.0,21.55,530xx,WI,2,0.0,,Standard Decline,2009,2,700-800
7500.0,2009-04-25, ,707.0,0.78,750xx,TX,7,0.0,,Standard Decline,2009,2,700-800
15000.0,2009-04-26, ,714.0,1.59,238xx,VA,3,0.0,,Standard Decline,2009,2,700-800
20000.0,2009-04-27,Kitchen Upgrade,715.0,9.54,130xx,NY,7,0.0,kitchen upgrade,Standard Decline,2009,2,700-800
17000.0,2009-04-27, ,681.0,28.74,080xx,NJ,4,0.0,,Standard Decline,2009,2,600-700
13000.0,2009-04-27, ,697.0,29.28,306xx,GA,6,0.0,,Standard Decline,2009,2,600-700
25000.0,2009-04-27,Low Risk,702.0,12.9,750xx,TX,4,0.0,low risk,Standard Decline,2009,2,700-800
16500.0,2009-04-27,Credit Cards,692.0,26.29,400xx,KY,10,0.0,credit cards,Standard Decline,2009,2,600-700
8651.0,2009-04-27, ,747.0,2.28,782xx,TX,3,0.0,,Standard Decline,2009,2,700-800
9000.0,2009-04-29, ,700.0,0.0,422xx,KY,3,0.0,,Standard Decline,2009,2,600-700
1800.0,2009-04-29, ,697.0,3.02,566xx,MN,2,0.0,,Standard Decline,2009,2,600-700
25000.0,2009-04-30,Trying to help son with wedding expenses,785.0,6.18,113xx,NY,3,0.0,trying to help son with wedding expenses,Standard Decline,2009,2,700-800
13900.0,2009-05-01, ,700.0,1.88,891xx,NV,4,0.0,,Standard Decline,2009,2,600-700
15000.0,2009-05-03, ,799.0,27.14,410xx,KY,10,0.0,,Standard Decline,2009,2,700-800
15000.0,2009-05-05, ,685.0,17.42,110xx,NY,7,0.0,,Standard Decline,2009,2,600-700
25000.0,2009-05-06,1st Home Downpayment & Expenses,729.0,6.82,307xx,GA,2,0.0,1st home downpayment & expenses,Standard Decline,2009,2,700-800
7000.0,2009-05-07, ,735.0,27.12,358xx,AL,10,0.0,,Standard Decline,2009,2,700-800
5000.0,2009-05-07,Advertising My Web Startup,744.0,2.27,344xx,FL,2,0.0,advertising my web startup,Standard Decline,2009,2,700-800
7500.0,2009-05-08,Driveway,722.0,0.8,900xx,CA,2,0.0,driveway,Standard Decline,2009,2,700-800
9000.0,2009-05-11,Credit Card transfer loan,725.0,25.11,770xx,TX,2,0.0,credit card transfer loan,Standard Decline,2009,2,700-800
5500.0,2009-05-14,Major Purchase,714.0,15.29,810xx,CO,5,0.0,major purchase,Standard Decline,2009,2,700-800
13000.0,2009-05-15, ,709.0,28.22,306xx,GA,2,0.0,,Standard Decline,2009,2,700-800
20000.0,2009-05-17,The perils of credit cards and youth,688.0,19.74,920xx,CA,4,0.0,the perils of credit cards and youth,Standard Decline,2009,2,600-700
4000.0,2009-05-18,personal,680.0,0.73,864xx,AZ,4,0.0,personal,Standard Decline,2009,2,600-700
